  "X m"     "Y m"     "Z m"    "U m/s"   "V m/s"    "W m/s"   "uu m^2/s^2" "vv m^2/s^2"  "uv m^2/s^2" 
 0.1401413000 0.0464970000 0.0600000000 6.7257557000 -0.0626138000 -0.0935246000 0.7474107000 0.2237331000 -0.0788698000
 0.1426822000 0.0464970000 0.0600000000 6.7213230000 -0.0597752000 -0.0873354000 0.7439331000 0.2231931000 -0.0789566000
 0.1452231000 0.0464970000 0.0600000000 6.7180490000 -0.0620880000 -0.0865787000 0.7426416000 0.2268505000 -0.0787400000
 0.1477639000 0.0464970000 0.0600000000 6.7156844000 -0.0658439000 -0.0860186000 0.7421861000 0.2302981000 -0.0769658000
 0.1503048000 0.0464970000 0.0600000000 6.7137604000 -0.0681559000 -0.0836848000 0.7416556000 0.2311971000 -0.0740176000
 0.1528457000 0.0464970000 0.0600000000 6.7124906000 -0.0695032000 -0.0861371000 0.7421045000 0.2323986000 -0.0739210000
 0.1553866000 0.0464970000 0.0600000000 6.7090282000 -0.0694085000 -0.0889638000 0.7470535000 0.2350850000 -0.0734770000
 0.1579274000 0.0464970000 0.0600000000 6.7072525000 -0.0736605000 -0.0916457000 0.7482296000 0.2357419000 -0.0716939000
 0.1604683000 0.0464970000 0.0600000000 6.7059441000 -0.0747307000 -0.0914233000 0.7451129000 0.2344856000 -0.0688830000
 0.1630092000 0.0464970000 0.0600000000 6.7042289000 -0.0697212000 -0.0889021000 0.7396183000 0.2328023000 -0.0658125000
 0.1655501000 0.0464970000 0.0600000000 6.7031355000 -0.0693979000 -0.0934085000 0.7378763000 0.2348568000 -0.0641113000
 0.1680910000 0.0464970000 0.0600000000 6.7015023000 -0.0756960000 -0.0931034000 0.7389740000 0.2366574000 -0.0627858000
 0.1706318000 0.0464970000 0.0600000000 6.6996813000 -0.0735178000 -0.0949162000 0.7414283000 0.2366031000 -0.0611465000
 0.1731727000 0.0464970000 0.0600000000 6.6963301000 -0.0681729000 -0.0963615000 0.7434655000 0.2376202000 -0.0605369000
 0.1757136000 0.0464970000 0.0600000000 6.6917386000 -0.0664074000 -0.0948614000 0.7439480000 0.2406283000 -0.0622901000
 0.1782545000 0.0464970000 0.0600000000 6.6912780000 -0.0735809000 -0.0899019000 0.7434318000 0.2396111000 -0.0675159000
 0.1807954000 0.0464970000 0.0600000000 6.6918268000 -0.0695093000 -0.0918064000 0.7415140000 0.2383005000 -0.0685349000
 0.1833362000 0.0464970000 0.0600000000 6.6907372000 -0.0679397000 -0.0945347000 0.7417410000 0.2385790000 -0.0695123000
 0.1858771000 0.0464970000 0.0600000000 6.6875882000 -0.0667486000 -0.0967370000 0.7433752000 0.2390171000 -0.0709343000
 0.1884180000 0.0464970000 0.0600000000 6.6828060000 -0.0627303000 -0.0977018000 0.7455275000 0.2383030000 -0.0723114000
 0.1909589000 0.0464970000 0.0600000000 6.6822195000 -0.0552635000 -0.0967691000 0.7491981000 0.2368935000 -0.0714225000
 0.1934997000 0.0464970000 0.0600000000 6.6787601000 -0.0488504000 -0.0948762000 0.7524045000 0.2387665000 -0.0761055000
 0.1960406000 0.0464970000 0.0600000000 6.6760073000 -0.0447710000 -0.0950702000 0.7564032000 0.2401631000 -0.0781428000
 0.1985815000 0.0464970000 0.0600000000 6.6738224000 -0.0437103000 -0.0951739000 0.7599322000 0.2411952000 -0.0785044000
 0.2011224000 0.0464970000 0.0600000000 6.6721716000 -0.0444238000 -0.0941693000 0.7632120000 0.2421373000 -0.0792432000
 0.2036633000 0.0464970000 0.0600000000 6.6737270000 -0.0389899000 -0.0985170000 0.7737123000 0.2416209000 -0.0812301000
 0.2062041000 0.0464970000 0.0600000000 6.6670661000 -0.0337290000 -0.0999465000 0.7837268000 0.2433461000 -0.0804861000
 0.2087450000 0.0464970000 0.0600000000 6.6634903000 -0.0299441000 -0.1032940000 0.7900696000 0.2454922000 -0.0808155000
 0.2112859000 0.0464970000 0.0600000000 6.6605744000 -0.0259356000 -0.1059281000 0.7923684000 0.2470889000 -0.0807305000
 0.2138268000 0.0464970000 0.0600000000 6.6549191000 -0.0200997000 -0.1041237000 0.7913442000 0.2481831000 -0.0786592000
 0.2163677000 0.0464970000 0.0600000000 6.6493235000 -0.0134654000 -0.0944753000 0.7893790000 0.2527180000 -0.0765591000
 0.2189085000 0.0464970000 0.0600000000 6.6417065000 -0.0056320000 -0.0840741000 0.7897815000 0.2519605000 -0.0746149000
 0.2214494000 0.0464970000 0.0600000000 6.6323371000 -0.0033623000 -0.0758601000 0.7943072000 0.2558281000 -0.0716635000
 0.2239903000 0.0464970000 0.0600000000 6.6227374000 -0.0039106000 -0.0710825000 0.8004894000 0.2610995000 -0.0695823000
 0.2265312000 0.0464970000 0.0600000000 6.6157241000 -0.0036048000 -0.0703424000 0.8049237000 0.2623678000 -0.0699921000
 0.2290721000 0.0464970000 0.0600000000 6.6196699000 -0.0049195000 -0.0737426000 0.8042439000 0.2568823000 -0.0701702000
 0.2316129000 0.0464970000 0.0600000000 6.6125593000 -0.0030525000 -0.0690231000 0.8044471000 0.2543496000 -0.0695032000
 0.2341538000 0.0464970000 0.0600000000 6.6101665000 0.0026810000 -0.0664291000 0.8059672000 0.2534448000 -0.0730486000
 0.2366947000 0.0464970000 0.0600000000 6.6086106000 0.0108558000 -0.0603171000 0.8084042000 0.2546406000 -0.0775178000
 0.0766193000 0.0490692000 0.0600000000 6.8206587000 -0.0311415000 -0.0358991000 0.7598431000 0.2348537000 -0.0805137000
 0.0791602000 0.0490692000 0.0600000000 6.8158951000 -0.0298652000 -0.0359860000 0.7615961000 0.2346985000 -0.0812901000
 0.0817011000 0.0490692000 0.0600000000 6.8138781000 -0.0331684000 -0.0463720000 0.7637674000 0.2380596000 -0.0818245000
 0.0842419000 0.0490692000 0.0600000000 6.8102217000 -0.0365373000 -0.0569302000 0.7625435000 0.2399004000 -0.0799995000
 0.0867828000 0.0490692000 0.0600000000 6.8037286000 -0.0378530000 -0.0628178000 0.7581939000 0.2395245000 -0.0766620000
 0.0893237000 0.0490692000 0.0600000000 6.7965808000 -0.0374861000 -0.0646770000 0.7553853000 0.2408888000 -0.0758879000
 0.0918646000 0.0490692000 0.0600000000 6.7936106000 -0.0344434000 -0.0679280000 0.7581984000 0.2400617000 -0.0779145000
 0.0944055000 0.0490692000 0.0600000000 6.7917395000 -0.0375933000 -0.0703095000 0.7604513000 0.2395469000 -0.0787479000
 0.0969463000 0.0490692000 0.0600000000 6.7895651000 -0.0430685000 -0.0708382000 0.7621391000 0.2387127000 -0.0794447000
 0.0994872000 0.0490692000 0.0600000000 6.7862711000 -0.0463629000 -0.0717030000 0.7629637000 0.2374501000 -0.0804421000
 0.1020281000 0.0490692000 0.0600000000 6.7829428000 -0.0420462000 -0.0791885000 0.7622659000 0.2363745000 -0.0813763000
 0.1045690000 0.0490692000 0.0600000000 6.7787447000 -0.0449544000 -0.0778458000 0.7603215000 0.2390336000 -0.0811396000
